Date,Country,Cat,Name
1949,United States of America,USA,Harry Donovan
1949,United States of America,USA,Bob Royer
1949,United States of America,USA,Duane Klueh
1949,United States of America,USA,Warren Perkins
1949,United States of America,USA,Jerry Nagel
1949,United States of America,USA,Ed Leede
1949,United States of America,USA,Jim Nolan
1949,United States of America,USA,Jack Kerris
1949,United States of America,USA,Ray Corley
1949,United States of America,USA,Bill Closs
1949,United States of America,USA,Bob Evans
1949,United States of America,USA,Bob Harris
1949,United States of America,USA,Joe Mullaney
1949,United States of America,USA,Wayne See
1949,United States of America,USA,Jack Parkinson
1949,United States of America,USA,John Pritchard
1949,United States of America,USA,Frank Kudelka
1949,United States of America,USA,Howie Janotta
1949,United States of America,USA,Al Miksis
1950,United States of America,USA,Bob Cousy
1950,United States of America,USA,Bill Sharman
1950,United States of America,USA,Dick Schnittker
1950,United States of America,USA,Joe Hutton
1950,United States of America,USA,Joe McNamee
1950,United States of America,USA,Paul Arizin
1950,United States of America,USA,Wally Osterkorn
1950,United States of America,USA,Ed Gayda
1950,United States of America,USA,Jim Riffey
1950,United States of America,USA,Ken Murray
1950,United States of America,USA,Chuck Mrazovich
1950,United States of America,USA,Ed Beach
1950,United States of America,USA,Kevin O'Shea
1950,United States of America,USA,Larry Foust
1950,United States of America,USA,Chuck Cooper
1950,United States of America,USA,Ed Dahler
1950,United States of America,USA,Al Masino
1950,United States of America,USA,Alan Sawyer
1950,United States of America,USA,Art Burris
1950,United States of America,USA,Earl Lloyd
1950,United States of America,USA,Bob Donham
1950,United States of America,USA,Bob Lavoy
1950,United States of America,USA,Cal Christensen
1950,United States of America,USA,Dick Dickey
1950,United States of America,USA,Leon Blevins
1950,United States of America,USA,Tommy O'Keefe
1950,United States of America,USA,Don Rehfeldt
1950,United States of America,USA,Don Lofgran
1951,United States of America,USA,Gerald Calabrese
1951,United States of America,USA,George King
1951,United States of America,USA,Jack Kiley
1951,United States of America,USA,Jake Fendley
1951,United States of America,USA,Ernie Barrett
1951,United States of America,USA,Mel Hutchins
1951,United States of America,USA,Lew Hitch
1951,United States of America,USA,Myer Skoog
1951,United States of America,USA,Mel Payton
1951,United States of America,USA,Ralph O'Brien
1951,United States of America,USA,Ray Ragelis
1951,United States of America,USA,John McConathy
1951,United States of America,USA,Elmer Behnke
1951,United States of America,USA,Neil Johnston
1951,United States of America,USA,Don Savage
1952,United States of America,USA,Mark Workman
1952,United States of America,USA,Jack McMahon
1952,United States of America,USA,Eddie Miller
1952,United States of America,USA,Gene Rhodes
1952,United States of America,USA,Jim Baechtold
1952,United States of America,USA,Jim Brasco
1952,United States of America,USA,Chuck Connors
1952,United States of America,USA,Clyde Lovellette
1952,United States of America,USA,Don Ackerman
1952,United States of America,USA,Bill Mlkvy
1952,United States of America,USA,Gene Conley
