National_Basketball_Association,country_of_citizenshipLabel,US_OR_NOT,National_Basketball_AssociationLabel,work_period__start_,
http://www.wikidata.org/entity/Q3607479,United States of America,1,Al Brightman,1946,1
http://www.wikidata.org/entity/Q3624026,United States of America,1,Art Spector,1946,1
http://www.wikidata.org/entity/Q3624030,United States of America,1,Art Stolkey,1946,1
http://www.wikidata.org/entity/Q3629431,United States of America,1,Aubrey Davis,1946,1
http://www.wikidata.org/entity/Q3940353,United States of America,1,Rollie Seltz,1946,1
http://www.wikidata.org/entity/Q3964849,United States of America,1,Sidney Hertzberg,1946,1
http://www.wikidata.org/entity/Q3968102,United States of America,1,Stan Brown,1946,1
http://www.wikidata.org/entity/Q3639966,United States of America,1,Bill Davis,1946,1
http://www.wikidata.org/entity/Q3641288,United States of America,1,Bob Doll,1946,1
http://www.wikidata.org/entity/Q3641292,United States of America,1,Bob Duffy,1946,1
http://www.wikidata.org/entity/Q3645471,United States of America,1,Bruce Hale,1946,1
http://www.wikidata.org/entity/Q3646294,United States of America,1,Buck Sydnor,1946,1
http://www.wikidata.org/entity/Q3646339,United States of America,1,Bud Palmer,1946,1
http://www.wikidata.org/entity/Q1450542,United States of America,1,Bones McKinney,1946,1
http://www.wikidata.org/entity/Q1450551,United States of America,1,Ken Sailors,1946,1
http://www.wikidata.org/entity/Q1452899,United States of America,1,Howie Dallmar,1946,1
http://www.wikidata.org/entity/Q3667274,United States of America,1,Chet Aubuchon,1946,1
http://www.wikidata.org/entity/Q3676029,United States of America,1,Chuck Gilmur,1946,1
http://www.wikidata.org/entity/Q3699246,United States of America,1,Whitey Von Nieda,1946,1
http://www.wikidata.org/entity/Q3992448,United States of America,1,Tom Callahan,1946,1
http://www.wikidata.org/entity/Q3992491,United States of America,1,Tom King,1946,1
http://www.wikidata.org/entity/Q3992890,United States of America,1,Tommy Byrnes,1946,1
http://www.wikidata.org/entity/Q4013887,United States of America,1,Virgil Vaughn,1946,1
http://www.wikidata.org/entity/Q4021145,United States of America,1,Wyndol Gray,1946,1
http://www.wikidata.org/entity/Q4490922,Canada,0,Gino Sovran,1946,1
http://www.wikidata.org/entity/Q6921642,United States of America,1,Earl Shannon,1946,1
http://www.wikidata.org/entity/Q6998620,United States of America,1,Armand Cure,1946,1
http://www.wikidata.org/entity/Q7000050,United States of America,1,Garland O'Shields,1946,1
http://www.wikidata.org/entity/Q7000617,United States of America,1,Red Dehnert,1946,1
http://www.wikidata.org/entity/Q7001348,United States of America,1,Ed Kasid,1946,1
http://www.wikidata.org/entity/Q7051423,Canada,0,Norm Baker,1946,1
http://www.wikidata.org/entity/Q8192861,United States of America,1,Al Lujack,1946,1
http://www.wikidata.org/entity/Q8246120,United States of America,1,Ben Goldfaden,1946,1
http://www.wikidata.org/entity/Q8249005,United States of America,1,Bob Shea,1946,1
http://www.wikidata.org/entity/Q8561655,United States of America,1,Don Eliason,1946,1
http://www.wikidata.org/entity/Q9024432,United States of America,1,Lou Spicer,1946,1
http://www.wikidata.org/entity/Q3713573,United States of America,1,Don Otten,1946,1
http://www.wikidata.org/entity/Q6707436,United States of America,1,Gene Gillette,1946,1
http://www.wikidata.org/entity/Q369563,United States of America,1,Matt Zunic,1947,1
http://www.wikidata.org/entity/Q1606779,United States of America,1,Paul Noel,1947,1
http://www.wikidata.org/entity/Q1607272,United States of America,1,Bill Calhoun,1947,1
http://www.wikidata.org/entity/Q1622629,United States of America,1,Paul Hoffman,1947,1
http://www.wikidata.org/entity/Q3723595,United States of America,1,Elmore Morgenthaler,1947,1
http://www.wikidata.org/entity/Q3729082,United States of America,1,George Feigenbaum,1947,1
http://www.wikidata.org/entity/Q3749269,United States of America,1,Fran Curran,1947,1
http://www.wikidata.org/entity/Q3753420,United States of America,1,Fritz Nagy,1947,1
http://www.wikidata.org/entity/Q3759439,United States of America,1,Gene Rock,1947,1
http://www.wikidata.org/entity/Q3759443,United States of America,1,Gene Stump,1947,1
http://www.wikidata.org/entity/Q3759444,United States of America,1,Gene Vance,1947,1
http://www.wikidata.org/entity/Q3783487,United States of America,1,Harry Boykoff,1947,1
http://www.wikidata.org/entity/Q610741,United States of America,1,Frank Brian,1947,1
http://www.wikidata.org/entity/Q1627358,United States of America,1,Glen Selbo,1947,1
http://www.wikidata.org/entity/Q3805642,United States of America,1,Jack Rocker,1947,1
http://www.wikidata.org/entity/Q3805653,United States of America,1,Jack Smiley,1947,1
http://www.wikidata.org/entity/Q3805667,United States of America,1,Jack Tingle,1947,1
http://www.wikidata.org/entity/Q3808413,United States of America,1,Jimmy Darden,1947,1
http://www.wikidata.org/entity/Q3809315,United States of America,1,John Hargis,1947,1
http://www.wikidata.org/entity/Q2566650,United States of America,1,Carl Braun,1947,1
http://www.wikidata.org/entity/Q1640846,United States of America,1,Jack Dwan,1947,1
http://www.wikidata.org/entity/Q1648070,United States of America,1,Mike Todorovich,1947,1
http://www.wikidata.org/entity/Q1707724,United States of America,1,Jack Toomay,1947,1
http://www.wikidata.org/entity/Q2110528,United States of America,1,Lee Robbins,1947,1
http://www.wikidata.org/entity/Q2110888,United States of America,1,Les Pugh,1947,1
http://www.wikidata.org/entity/Q2328645,United States of America,1,Red Rocha,1947,1
http://www.wikidata.org/entity/Q2658522,United States of America,1,Paul Cloyd,1947,1
http://www.wikidata.org/entity/Q2698565,United States of America,1,Wataru Misaka,1947,1
http://www.wikidata.org/entity/Q3809733,United States of America,1,Johnny Macknowski,1947,1
http://www.wikidata.org/entity/Q779600,United States of America,1,Bill Roberts,1947,1
http://www.wikidata.org/entity/Q3080666,United States of America,1,Johnny Jorgensen,1947,1
http://www.wikidata.org/entity/Q964696,United States of America,1,Jim Pollard,1947,1
http://www.wikidata.org/entity/Q527022,United States of America,1,Andy Phillip,1947,1
http://www.wikidata.org/entity/Q2033126,United States of America,1,Bob Hubbard,1947,1
http://www.wikidata.org/entity/Q3929789,United States of America,1,"David Ralph ""Boag"" Johnson",1947,1
http://www.wikidata.org/entity/Q3929791,United States of America,1,Ralph Hamilton,1947,1
http://www.wikidata.org/entity/Q20031367,United States of America,1,Boody Gilbertson,1947,1
http://www.wikidata.org/entity/Q3384851,United States of America,1,Paul Napolitano,1947,1
http://www.wikidata.org/entity/Q3616538,United States of America,1,Andy Duncan,1947,1
http://www.wikidata.org/entity/Q3637950,United States of America,1,Ben Schadler,1947,1
http://www.wikidata.org/entity/Q1124553,United States of America,1,Walt Kirk,1947,1
http://www.wikidata.org/entity/Q1195813,United States of America,1,Ron Livingstone,1947,1
http://www.wikidata.org/entity/Q3960122,United States of America,1,Sid Tanenbaum,1947,1
http://www.wikidata.org/entity/Q3639969,United States of America,1,Bill Downey,1947,1
http://www.wikidata.org/entity/Q3639977,United States of America,1,Bill Henry,1947,1
http://www.wikidata.org/entity/Q3646793,United States of America,1,Bulbs Ehlers,1947,1
